RDA label,RDA IRI,pseudo-Turtle,Kiegel syntax
has supplementary content RDA 7.16,http://rdaregistry.info/Elements/e/P20206,"bf:supplementaryContent <P20206value> .
# with literal value
bf:supplementaryContent [ a bf:SupplementaryContent ;
   rdfs:label ""P20206value"" ] .","supplementaryContent*
or
supplementaryContent >> SupplementaryContent > rdfs:label"
has illustrative content RDA 7.15,http://rdaregistry.info/Elements/e/P20207,"bf:illustrativeContent <P20207value> .
# with literal value
bf:illustrativeContent [ a bf:Illustration ;
   rdfs:label ""P20207value"" ] .","illustrativeContent*
or
illustrativeContent >> Illustration > rdfs:label"
has accessibility content RDA 7.14,http://rdaregistry.info/Elements/e/P20208,"bf:contentAccessibility <P20208value> .
# with literal value
bf:contentAccessibility [ a bf:ContentAccessibility ;
   rdfs:label ""P20208value"" ] .
","contentAccessibility*
or
contentAccessibility >> ContentAcessibility > rdfs:label"
has format of notated music RDA 7.20,http://rdaregistry.info/Elements/e/P20209,"bf:musicFormat <P20209value> .
# with literal value
bf:musicFormat [ a bf:MusicFormat ;
   rdfs:label ""P20209value"" ] .","musicFormat*
or
musicFormat >> MusicFormat > rdfs:label"
has details of cartographic content RDA 7.27,http://rdaregistry.info/Elements/e/P20210,"bf:note [ a bf:Note ;
   rdfs:label ""P20210value"" ;
   bf:noteType ""details of cartographic content"" ] .","note >> Note > rdfs:label > noteType=""details of cartographic content"""
is revised as RDA 24.5,http://rdaregistry.info/Elements/e/P20211,"bf:hasDerivative <P20211value> .
# with literal value
bf:hasDerivative [ a bf:Work ;
    rdfs:label ""P20211value"" ] .","hasDerivative*
or
hasDerivative >> Work > rdfs:label"
is merged to form expression RDA 24.5,http://rdaregistry.info/Elements/e/P20212,"bf:mergedToForm <P20212value> .
# with literal value
bf:mergedToForm [ a bf:Work ;
   rdfs:label ""P20212value"" ] .","mergedToForm*
or
mergedToForm >> Work > rdfs:label"
has additional scale information RDA 7.25.5,http://rdaregistry.info/Elements/e/P20213,"bf:scale [ a bf:Scale ;
   rdfs:label ""P20213value"" ] .",scale >> Scale > rdfs:label
has date of expression RDA 6.10,http://rdaregistry.info/Elements/e/P20214,"bf:originDate ""P20214value"" .",originDate
has medium of performance of musical content RDA 7.21,http://rdaregistry.info/Elements/e/P20215,"bf:note [ a bf:Note ;
   rdfs:label ""P20215value"" ;
   bf:noteType ""medium of performance of musical content"" ] .","note >> Note > rdfs:label > noteType=""medium of performance of musical content"""
has projection of cartographic content RDA 7.26,http://rdaregistry.info/Elements/e/P20216,"bf:cartographicAttributes [ a bf:Cartographic ;
   bf:projection <P20216value> ] .
# with literal value
bf:cartographicAttributes [ a bf:Cartographic ;
   bf:projection [ a bf:Projection ;
      rdfs:label ""P20216value"" ] ] .","cartographicAttributes >> Cartographic > projection*
or
cartographicAttributes >> Cartographic > projection >> Projection > rdfs:label"
has capture information RDA 7.11,http://rdaregistry.info/Elements/e/P20217,"bf:capture <P20217value> .
# with literal value
bf:capture [ a bf:Capture;
   rdfs:label ""P20217value"" ] .","capture*
or
capture >> Capture > rdfs:label"
has place of capture RDA 7.11.2,http://rdaregistry.info/Elements/e/P20218,"bf:capture <P20218value> .
# with literal value
bf:capture [ a bf:Capture;
   rdfs:label ""P20218value"" ] .","capture*
or
capture >> Capture > rdfs:label
"
has duration RDA 7.22,http://rdaregistry.info/Elements/e/P20219,"bf:duration ""P20219value"" .",duration
has colour content RDA 7.17,http://rdaregistry.info/Elements/e/P20224,"bf:colorContent <P20224value> .
# with literal value
bf:colorContent [ a bf:ColorContent ;
   rdfs:label ""P20224value"" ] .","colorContent*
or
colorContent >> ColorContent > rdfs:label"
has sound content RDA 7.18,http://rdaregistry.info/Elements/e/P20225,"bf:soundContent <P20225value> .
# with literal value
bf:soundContent [ a bf:SoundContent ;
   rdfs:label ""P20225value"" ] .","soundContent*
or
soundContent >> SoundContent > rdfs:label"
has horizontal scale of cartographic content RDA 7.25.3,http://rdaregistry.info/Elements/e/P20226,"bf:scale <P20226value> .
# with literal value
bf:scale [ a bf:Scale ;
   rdfs:label ""P20226value"" ] .","scale*
or
scale >> Scale > rdfs:label"
has scale of still image or three-dimensional form RDA 7.25.2,http://rdaregistry.info/Elements/e/P20227,"bf:scale [ a bf:Scale ;
   nf:note <P20227value> ] .
# with literal value
bf:scale [ a bf:Scale ;
   bf:note [ a bf:Note ;
      rdfs:label ""P20227value"" ;
      bf:noteType ""has scale of still image or three-dimensional form"" ] ] .","scale*
or
scale >> Scale > rdfs:label"
has scale RDA 7.25,http://rdaregistry.info/Elements/e/P20228,"bf:scale <P20228value> .
# with literal value
bf:scale [ a bf:Scale ;
   rdfs:label ""P20228value"" ] .","scale*
or
scale >> Scale > rdfs:label"
has aspect ratio RDA 7.19,http://rdaregistry.info/Elements/e/P20229,"bf:aspectRatio <P20229value> .
# with literal value
bf:aspectRatio [ a bf:AspectRatio;
   rdfs:label ""P20229value"" ] .",aspectRatio >> AspectRatio > rdfs:label
